#       RW:                  X:                  Y:                  Z:
        237                 -12                  -1                  -1
        238                  -5                  -4                   5
        239                   8                   2                   8
        240                   1                   6                  -5
        241                  11                   3                  -8
        242                   4                  -8                  -4
        243                   3                   2                  -5
        244                   9                  -4                  -3
        245                   5                  12                  -3
        246                  -3                  -3                   4
        247                   1                  -3                  -6
        248                  16                   9                  -5
        249                  -5                   9                   8
        250                   9                 -10                   3
        251                  -1                  -6                   5
        252                   1                   8                   3
        253                   5                  -3                  -4
        254                  -6                  -9                   7
        255                  -2                   6                   8
        256                  -6                  -1                  -1
        257                   8                   4                   2
        258                  -4                  -6                   4
        259                 -18                  -6                  -6
        260                  -7                   2                 -15
        261                   0                   0                   4
        262                  -3                   9                   2
        263                  -4                   0                  -8
        264                  -3                  -4                   9
        265                  -3                  -4                   5
        266                  -6                  -2                   0
        267                  -3                   0                  -1
        268                   6                   6                  -4
        269                  -3                   0                  -7
        270                 -11                   0                  -9
        271                   0                   4                   0
        272                  -3                 -12                  -3
        273                  -9                   5                   4
        274                   0                  -7                   7
        275                   1                   0                   3
        276                  -2                   6                   6
        277                  -8                   4                  -6
        278                   3                   8                  -1
        279                   3                  -1                  -2
        280                 -10                   0                   4
        281                   0                  10                  -2
        282                  10                  -8                   4
        283                  10                   9                   1
        284                   0                   1                   1
        285                  15                   8                  13
        286                  -1                   0                 -13
        287                  -2                  15                  11
        288                   5                   1                   2
        289                   1                   0                   3
        290                  -2                   3                  -3
        291                  -4                  -2                   4
        292                  -4                   0                   8
        293                   3                   6                  -5
        294                  -2                   4                   2
        295                  16                  -3                  11
        296                  -6                  -3                   5
        297                   0                   0                   0
        298                  -1                  -1                   4
        299                   1                  -5                   0
        300                   0                   7                  -5
        301                  -3                  -2                   5
        302                   2                   4                  -2
        303                   2                   1                   1
        304                   5                  -5                   0
        305                   4                  -7                   3
        306                   3                  -4                   1
        307                   5                  -1                   0
        308                   2                   1                   3
        309                  -6                   7                  -1
        310                   6                   3                  -3
        311                   8                  -7                   3
        312                  -3                  -4                   3
        313                   6                  -1                  -1
        314                  -7                  -6                   1
        315                   0                   1                   1
        316                   1                   4                  -1
        317                  -2                  12                   2
        318                  -5                   8                   1
        319                   2                 -10                   0
        320                   5                  -1                   0
        321                  -4                  -3                   5
        322                  -1                   4                   3
        323                   3                  -8                  -1
        324                  -5                  -6                  -5
        325                  -4                   1                 -11
        326                  -1                   5                  -6
        327                   5                   0                   5
        328                  15                   0                   1
        329                  -6                  -5                   3
        330                  -4                  -9                  -5
        331                   9                  -1                   4
        332                   1                  -4                   1
        333                  -6                   3                  -3
        334                   5                   6                   5
        335                  -6                  -1                  -9
        336                  -7                   1                   6
        337                  -6                   2                 -10
        338                   3                  -9                  -8
        339                   0                  -1                   1
        340                   4                 -12                   0
        341                   6                  12                   0
        342                  -7                   1                   6
        343                  -5                  -1                   2
        344                   9                   3                  -4
        345                   1                  -1                   4
        346                   8                  -2                  14
        347                  -1                  -1                  -4
        348                   2                   6                  -2
        349                 -10                  -7                  -7
        350                  -1                   1                  -8
        351                   1                  -2                  -9
        352                   4                   2                   8
        353                   1                  -3                   0
        354                  -4                   4                   2
        355                 -17                  -7                   2
        356                  -2                  -3                   3
        357                  -1                  -4                   3
        358                  -6                  -4                  -2
        359                 -10                   1                  -9
        360                  -1                   9                  -4
        361                  -1                 -10                   5
        362                   1                   5                 -14
        363                  -4                   3                 -11
        364                   3                  -2                  -5
        365                   7                   1                  -8
        366                   2                  -2                   2
        367                  -1                  -4                   5
        368                   4                  -1                  -7
        369                  -2                  -3                  -1
        370                  -3                   7                  10
        371                   6                   8                   2
        372                  -6                   2                   2
        373                  -3                   6                  -5
        374                  -3                  -2                  -9
        375                   1                   7                   0
        376                  -4                   1                   3
        377                   0                   0                   2
        378                  -2                  -3                  -7
        379                  -9                  -8                  -3
        380                   5                   7                  -8
        381                   1                   3                   4
        382                   1                   2                  -5
        383                   3                  -2                  -5
        384                   8                   2                   2
        385                   4                   5                 -11
        386                  12                   1                  11
        387                   3                   0                  15
        388                   4                  -2                  -4
        389                   4                  -1                   5
        390                  -4                   5                   3
        391                  -1                   1                   4
        392                  -1                   4                  11
        393                  -3                   1                   2
        394                   0                   3                   3
        395                   6                  -6                  -2
        396                  -3                   2                   3
        397                  -2                   5                   5
        398                   0                   0                  -6
        399                   4                   4                   6
        400                  -1                  -3                 -10
        401                  -2                   4                   8
        402                   5                   0                  -7
        403                  -6                   6                   0
        404                   1                  -6                 -11
        405                   1                  -6                  -3
        406                  -8                   6                 -12
        407                   2                   9                   5
        408                   1                   7                  -6
        409                   5                  -5                   0
        410                  -2                   6                  -2
        411                   3                  11                   2
        412                  -3                   4                   1
        413                  -4                  -2                  -2
        414                  -6                  -6                  -4
        415                  -5                   5                   0
        416                  -8                   4                 -14
        417                  -4                   0                   2
        418                  -2                  -2                 -10
        419                   5                   3                   4
        420                  -6                  -5                   3
        421                  -8                   1                  -3
        422                   3                   3                  -4
        423                  -8                   4                  -6
        424                   2                  -4                  -6
        425                  -5                  -9                   2
        426                 -10                  -3                  -1
        427                  -6                  -8                   2
        428                  -1                   3                  -6
        429                   1                  -2                  -9
        430                  -1                   0                  -3
        431                  -4                   1                  -3
        432                 -10                  -7                   5
        433                  13                   8                   3
        434                  -1                   1                   4
        435                   1                   9                   0
        436                   0                   1                   9
        437                   1                   7                   0
        438                  -1                   0                   5
        439                  -5                  -1                   4
        440                   9                  12                  -7
        441                  -1                  10                  -1
        442                   2                   1                   1
        443                  -7                 -12                   5
        444                  12                   1                  -3
        445                  -8                  -5                   3
        446                  10                   0                  10
        447                  -2                  -3                  -1
        448                  -1                  -2                   7
        449                  11                   4                   3
        450                  10                   3                  -7
        451                   1                   1                  -8
        452                   4                  -5                  -1
        453                  -5                  -2                  -3
        454                   6                  -6                   6
        455                  -7                  -5                  -4
        456                   4                   2                  -4
        457                   1                  12                  -5
        458                   2                  -4                  -2
        459                  -5                   3                   0
        460                   0                  11                  -9
        461                  -3                   3                   4
        462                  -1                   3                  -2
        463                   1                   2                   5
        464                   3                  13                   0
        465                   5                   4                  -7
        466                  -5                  -3                  -4
        467                  -8                   0                  -4
        468                  -5                  -5                   0
        469                   0                   6                  -8
        470                 -13                  -3                   6
        471                  -6                  -2                 -10
        472                  -3                  10                   1
        473                   8                   3                  -1
        474                   5                   7                   0
        475                  11                  11                  -8
        476                   3                   1                  -4
        477                   7                  -7                   4
        478                  -7                   5                  -8
        479                   1                   0                   7
        480                   2                   9                  -1
        481                  15                   3                  -2
        482                   4                  -7                   5
        483                  11                  -6                   5
        484                   6                   6                   6
        485                  -6                   3                   5
        486                  -1                  -2                   1
        487                  -8                  -2                  -8
        488                  -5                  -8                  -1
        489                  -3                  -6                   7
        490                   3                   0                   3
        491                  -1                   4                   5
