#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1             0.11581             0.11581                   0
           2            0.174338            0.145074           0.0206928
           3            0.142666            0.144271           0.0138107
           4            0.155596            0.147102           0.0106443
           5            0.151246            0.147931          0.00854763
           6            0.148192            0.147975          0.00712314
           7            0.149242            0.148156          0.00610785
           8            0.148598            0.148211          0.00534462
           9            0.137932            0.147069          0.00487127
          10            0.119064            0.144268          0.00512632
          11            0.148608            0.144663          0.00467545
          12            0.172584             0.14699          0.00483022
          13             0.14369            0.146736          0.00446532
          14            0.142262            0.146416          0.00415779
          15            0.139714            0.145969          0.00390454
          16             0.13142             0.14506          0.00376491
          17            0.148426            0.145258          0.00354864
          18            0.123344            0.144041          0.00355421
          19            0.170412            0.145429          0.00362804
          20            0.154456             0.14588          0.00347461
