#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.035514            0.035514                   0
           2            0.047968            0.041741          0.00440315
           3            0.060298           0.0479267          0.00584167
           4             0.05814             0.05048          0.00490765
           5             0.04925            0.050234          0.00393228
           6            0.050412           0.0502637          0.00327701
           7             0.06029            0.051696          0.00310616
           8            0.046684           0.0510695          0.00278035
           9             0.04119           0.0499718          0.00267937
          10            0.045818           0.0495564          0.00244342
          11            0.039448           0.0486375          0.00238785
          12            0.048102           0.0485928          0.00218928
          13            0.043886           0.0482308           0.0020506
          14            0.040564           0.0476831           0.0019759
          15            0.035602           0.0468777           0.0020016
          16            0.042062           0.0465768          0.00189899
          17            0.046036           0.0465449          0.00178755
          18            0.036222           0.0459714          0.00177786
          19            0.043306           0.0458312          0.00168982
          20            0.044896           0.0457844          0.00160597
