#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1                   1                   1                   0
           2                   1                   1                   0
           3            0.999928            0.999976         1.95959e-05
           4                   1            0.999982         1.55885e-05
           5            0.999996            0.999985         1.27197e-05
           6             0.99989            0.999969         1.78994e-05
           7            0.999994            0.999973         1.56946e-05
           8                   1            0.999976         1.41023e-05
           9            0.999758            0.999952         2.60511e-05
          10            0.999988            0.999955         2.36965e-05
          11                   1            0.999959         2.18864e-05
          12            0.999978            0.999961          2.0117e-05
          13            0.999982            0.999963         1.86343e-05
          14                   1            0.999965         1.74936e-05
          15            0.999998            0.999967         1.64627e-05
          16            0.999706            0.999951         2.21034e-05
          17            0.999964            0.999952         2.08162e-05
          18            0.999962            0.999952         1.96673e-05
          19            0.999998            0.999955         1.87778e-05
          20            0.999988            0.999956         1.79119e-05
