#   N_BLOCK:  ACCEPTANCE:
           1                   0
           2                   0
           3               2e-05
           4             1.5e-05
           5            1.28e-05
           6             2.1e-05
           7         1.85714e-05
           8            1.65e-05
           9         2.53333e-05
          10            2.42e-05
          11             2.2e-05
          12         2.21667e-05
          13         2.15385e-05
          14               2e-05
          15         1.89333e-05
          16          2.1875e-05
          17             2.2e-05
          18         2.24444e-05
          19         2.13684e-05
          20            2.09e-05
