#     BLOCK:         BIN_CENTER:           ACTUAL_V:              V_AVE:              ERROR:
           5             5.00104           0.0098012          0.00863154          0.00294175
           5             5.28682          0.00336967          0.00492166          0.00296512
           5             5.57259                   0          0.00644449          0.00450753
           5             5.85836                   0          0.00251429          0.00139052
           5             6.14414                   0          0.00167187          0.00149537
           5             6.42991                   0          0.00313962           0.0027649
           5             6.71568                   0          0.00569604          0.00320907
           5             7.00146                   0         0.000275406          0.00024633
           5             7.28723                   0                   0                   0
           5             7.57301                   0                   0                   0
           5             7.85878                   0                   0                   0
           5             8.14455                   0                   0                   0
           5             8.43033                   0                   0                   0


           6            0.142887          0.00285126         0.000791116         0.000448313
           6            0.428661           0.0620311           0.0307077          0.00812884
           6            0.714435            0.131466           0.0936919           0.0139875
           6             1.00021            0.148622            0.170611           0.0124216
           6             1.28598            0.354787            0.334564           0.0341917
           6             1.57176             0.38074            0.341479           0.0189279
           6             1.85753            0.321625            0.381132           0.0269618
           6              2.1433             0.30144            0.392426           0.0312565
           6             2.42908            0.435465            0.415533           0.0189792
           6             2.71485            0.348275            0.355192           0.0195605
           6             3.00062            0.320086            0.288142           0.0106212
           6              3.2864            0.220373            0.235372           0.0154774
           6             3.57217            0.123933            0.144342          0.00899972
           6             3.85795           0.0918397            0.112212            0.021861
           6             4.14372            0.105691           0.0914914             0.01134
           6             4.42949           0.0315096           0.0474238           0.0121975
           6             4.71527           0.0545141            0.025745          0.00966613
           6             5.00104           0.0338425           0.0128334          0.00455219
           6             5.28682           0.0100766          0.00578082          0.00259242
           6             5.57259           0.0096878          0.00698504          0.00378855
           6             5.85836           0.0104168          0.00383138          0.00166983
           6             6.14414                   0          0.00139323          0.00127184
           6             6.42991                   0          0.00261635          0.00235308
           6             6.71568                   0           0.0047467          0.00281114
           6             7.00146                   0         0.000229505         0.000209508
           6             7.28723                   0                   0                   0
           6             7.57301                   0                   0                   0
           6             7.85878                   0                   0                   0
           6             8.14455                   0                   0                   0
           6             8.43033                   0                   0                   0


           7            0.142887          0.00795436          0.00181444          0.00102237
           7            0.428661           0.0681062           0.0360504          0.00854478
           7            0.714435            0.202488            0.109234           0.0187296
           7             1.00021            0.267403            0.184438           0.0166506
           7             1.28598            0.246002            0.321912           0.0315612
           7             1.57176            0.234289            0.326166           0.0215453
           7             1.85753            0.386264            0.381865           0.0231201
           7              2.1433            0.390055            0.392087           0.0267931
           7             2.42908            0.383397            0.410942           0.0168139
           7             2.71485            0.359275            0.355775           0.0167749
           7             3.00062            0.253503            0.283193           0.0101917
           7              3.2864            0.195992            0.229746           0.0142522
           7             3.57217           0.0874494            0.136215           0.0107762
           7             3.85795            0.136196            0.115638           0.0190046
           7             4.14372            0.114245           0.0947418           0.0101752
           7             4.42949           0.0371474           0.0459557            0.010543
           7             4.71527            0.050221           0.0292416          0.00889522
           7             5.00104           0.0468676           0.0176954          0.00595709
           7             5.28682           0.0122798          0.00670925          0.00238253
           7             5.57259          0.00688514          0.00697077          0.00324736
           7             5.85836          0.00124743          0.00346224          0.00147152
           7             6.14414         0.000567012           0.0012752          0.00109561
           7             6.42991           0.0110162          0.00381633          0.00230266
           7             6.71568         0.000421209          0.00412877          0.00247654
           7             7.00146                   0         0.000196718         0.000182126
           7             7.28723                   0                   0                   0
           7             7.57301                   0                   0                   0
           7             7.85878                   0                   0                   0
           7             8.14455                   0                   0                   0
           7             8.43033                   0                   0                   0


           8            0.142887          0.00336967          0.00200884         0.000912874
           8            0.428661           0.0604272           0.0390975          0.00800156
           8            0.714435            0.108866            0.109188           0.0163884
           8             1.00021            0.152883            0.180494           0.0150293
           8             1.28598            0.352033            0.325677           0.0278397
           8             1.57176              0.2918             0.32187           0.0192756
           8             1.85753            0.428904            0.387745           0.0209644
           8              2.1433             0.42197            0.395823           0.0237029
           8             2.42908            0.289419            0.395752           0.0204537
           8             2.71485            0.357703            0.356016           0.0146797
           8             3.00062             0.25718            0.279942          0.00942214
           8              3.2864             0.25151            0.232467           0.0127277
           8             3.57217            0.107279            0.132598           0.0100178
           8             3.85795            0.136634            0.118262           0.0168093
           8             4.14372            0.130834           0.0992533          0.00985281
           8             4.42949           0.0662755           0.0484957          0.00952619
           8             4.71527           0.0746511           0.0349178          0.00942187
           8             5.00104          0.00635053           0.0162773           0.0053786
           8             5.28682          0.00103682           0.0060002          0.00218768
           8             5.57259         0.000145803          0.00611765          0.00295137
           8             5.85836                   0          0.00302946          0.00134972
           8             6.14414                   0           0.0011158         0.000970185
           8             6.42991                   0          0.00333929          0.00206365
           8             6.71568                   0          0.00361267          0.00222009
           8             7.00146                   0         0.000172128         0.000161011
           8             7.28723                   0                   0                   0
           8             7.57301                   0                   0                   0
           8             7.85878                   0                   0                   0
           8             8.14455                   0                   0                   0
           8             8.43033                   0                   0                   0


           9            0.142887          4.8601e-05          0.00179104         0.000837023
           9            0.428661           0.0387026           0.0390536          0.00711262
           9            0.714435           0.0712652            0.104975           0.0150995
           9             1.00021            0.167835            0.179087            0.013425
           9             1.28598            0.323488            0.325434           0.0247475
           9             1.57176            0.253892            0.314317           0.0185548
           9             1.85753            0.458097            0.395562           0.0200394
           9              2.1433            0.443111            0.401077           0.0216438
           9             2.42908            0.341211            0.389692           0.0190577
           9             2.71485            0.394883            0.360335           0.0136691
           9             3.00062            0.364864            0.289377           0.0122183
           9              3.2864            0.184635            0.227152           0.0123734
           9             3.57217            0.103407            0.129354          0.00941517
           9             3.85795           0.0788308            0.113881            0.015502
           9             4.14372            0.150695            0.104969           0.0102832
           9             4.42949           0.0340693           0.0468928          0.00860153
           9             4.71527           0.0452151           0.0360619          0.00844418
           9             5.00104           0.0444699           0.0194098          0.00561962
           9             5.28682         0.000550811          0.00539471          0.00202666
           9             5.57259                   0          0.00543791          0.00270058
           9             5.85836                   0          0.00269285          0.00124101
           9             6.14414                   0          0.00099182         0.000870272
           9             6.42991                   0          0.00296826          0.00186741
           9             6.71568                   0          0.00321127          0.00200938
           9             7.00146                   0         0.000153003         0.000144253
           9             7.28723                   0                   0                   0
           9             7.57301                   0                   0                   0
           9             7.85878                   0                   0                   0
           9             8.14455                   0                   0                   0
           9             8.43033                   0                   0                   0


          10            0.142887         0.000388808          0.00165081         0.000764976
          10            0.428661           0.0484552           0.0399938          0.00646319
          10            0.714435            0.121357            0.106613           0.0136781
          10             1.00021            0.166248            0.177803           0.0121437
          10             1.28598            0.317672            0.324658           0.0222849
          10             1.57176            0.384823            0.321368           0.0179891
          10             1.85753            0.366954            0.392701           0.0182385
          10              2.1433            0.328251            0.393794           0.0206683
          10             2.42908             0.38458            0.389181           0.0171588
          10             2.71485            0.371587             0.36146           0.0123484
          10             3.00062            0.266139            0.287054           0.0112153
          10              3.2864            0.187519            0.223189           0.0117537
          10             3.57217            0.171351            0.133554          0.00936356
          10             3.85795            0.147585            0.117252           0.0143135
          10             4.14372           0.0771136            0.102184          0.00962475
          10             4.42949           0.0571224           0.0479157          0.00780197
          10             4.71527           0.0754125            0.039997          0.00846715
          10             5.00104          0.00913699           0.0183825          0.00515069
          10             5.28682          0.00899118          0.00575436          0.00185563
          10             5.57259          0.00858617          0.00575274          0.00244881
          10             5.85836                   0          0.00242357          0.00114576
          10             6.14414                   0         0.000892638         0.000788876
          10             6.42991                   0          0.00267143           0.0017041
          10             6.71568                   0          0.00289014          0.00183392
          10             7.00146                   0         0.000137703         0.000130636
          10             7.28723                   0                   0                   0
          10             7.57301                   0                   0                   0
          10             7.85878                   0                   0                   0
          10             8.14455                   0                   0                   0
          10             8.43033                   0                   0                   0


          11            0.142887          0.00048601          0.00154492         0.000702724
          11            0.428661           0.0249485            0.038626          0.00601861
          11            0.714435            0.147423            0.110323            0.012928
          11             1.00021            0.236914            0.183177           0.0121708
          11             1.28598            0.282501            0.320825           0.0205859
          11             1.57176            0.335088            0.322615           0.0163969
          11             1.85753            0.379023            0.391457           0.0166228
          11              2.1433             0.35921             0.39065            0.019027
          11             2.42908            0.355662            0.386133           0.0158671
          11             2.71485            0.386329            0.363721           0.0114309
          11             3.00062            0.319827            0.290033            0.010584
          11              3.2864            0.184344            0.219657           0.0112031
          11             3.57217            0.101932            0.130679          0.00894272
