#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1             0.26836             0.26836                   0
           2             0.14195            0.205155            0.044693
           3           0.0968349            0.169048           0.0419153
           4            0.140627            0.161943            0.032033
           5           0.0437099            0.138296           0.0332271
           6            0.134489            0.137662           0.0276953
           7             0.16743            0.141914           0.0240631
           8            0.208887            0.150286           0.0224643
           9           0.0608578            0.140349           0.0220566
          10           0.0901254            0.135327           0.0204148
          11            0.067364            0.129149           0.0194714
          12           0.0326489            0.121107           0.0194386
          13            0.186061            0.126103           0.0185743
          14           0.0666607            0.121858           0.0177263
          15           0.0203878            0.115093           0.0177885
          16            0.216896            0.121456           0.0177782
          17           0.0998454            0.120184           0.0167778
          18            0.111967            0.119728            0.015852
          19            0.156054             0.12164           0.0151325
          20           0.0607517            0.118595           0.0146789
