#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1           -0.987308           -0.987308                   0
           2           -0.993868           -0.990588          0.00231931
           3            -0.99622           -0.992465          0.00217723
           4           -0.994156           -0.992888          0.00167345
           5            -0.99822           -0.993954          0.00164379
           6           -0.994228              -0.994          0.00137046
           7           -0.992964           -0.993852          0.00118264
           8           -0.990532           -0.993437          0.00110523
           9           -0.997572           -0.993896          0.00107368
          10           -0.996216           -0.994128         0.000991053
          11           -0.997208           -0.994408          0.00093967
          12           -0.998672           -0.994764         0.000926104
          13           -0.991756           -0.994532         0.000883291
          14           -0.997264           -0.994727         0.000841474
          15           -0.999176           -0.995024         0.000836006
          16            -0.99012           -0.994717          0.00083806
          17           -0.995784            -0.99478         0.000791107
          18           -0.995256           -0.994807         0.000747598
          19           -0.993272           -0.994726         0.000712601
          20           -0.997568           -0.994868         0.000690994
