#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             110.754             110.754                   0
           2             118.356             114.555             2.68789
           3              121.73             116.947             2.65034
           4             118.487             117.332             2.01553
           5             123.665             118.598             1.97064
           6             118.692             118.614             1.64226
           7              117.52             118.458             1.41507
           8              114.94             118.018             1.30472
           9             122.552             118.522             1.25324
          10             120.848             118.754              1.1493
          11             122.081             119.057             1.08389
          12             124.042             119.472             1.07021
          13             116.314             119.229             1.01509
          14              123.34             119.523            0.984137
          15             124.622             119.863            0.975468
          16              113.02             119.435             1.00388
          17             120.635             119.506            0.947306
          18             120.886             119.582            0.897777
          19             117.319             119.463            0.858395
          20             122.989             119.639            0.833378
