#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1                   0                   0                   0
           2          0.00106635         0.000533173          0.00037701
           3          0.00426155          0.00177596           0.0010454
           4                   0          0.00133197         0.000873258
           5         0.000177769          0.00110113         0.000728478
           6          0.00177689          0.00121376          0.00061571
           7         0.000888667          0.00116732           0.0005295
           8                   0           0.0010214         0.000482999
           9          0.00106635           0.0010264         0.000429358
          10         0.000710969         0.000994853         0.000387579
          11                   0         0.000904412         0.000362744
          12           0.0108114          0.00172999         0.000857525
          13          0.00124401          0.00169261         0.000792376
          14                   0          0.00157171         0.000744944
          15         0.000888667          0.00152617         0.000696672
          16          0.00567979          0.00178577         0.000699828
          17          0.00124401           0.0017539         0.000659387
          18           0.0229609          0.00293207          0.00130337
          19         0.000177769          0.00278711          0.00124281
          20           0.0197996          0.00363773          0.00144269
