#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             166.667             166.667                   0
           2             166.652             166.659          0.00511945
           3             166.626             166.648          0.00977109
           4             166.667             166.653          0.00834664
           5             166.665             166.655          0.00704518
           6             166.652             166.655          0.00589927
           7             166.654             166.655          0.00505711
           8             166.667             166.656          0.00464365
           9             166.658             166.656          0.00413135
          10             166.663             166.657          0.00376922
          11             166.667             166.658          0.00352826
          12             166.511             166.646           0.0121913
          13              166.66             166.647           0.0113055
          14             166.667             166.648           0.0105875
          15             166.662             166.649          0.00991946
          16              166.49             166.639           0.0133914
          17             166.657              166.64           0.0126432
          18             165.869             166.597           0.0433206
          19             166.666             166.601           0.0411915
          20             166.022             166.572           0.0482263
