#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1                  -1                  -1                   0
           2           -0.999976           -0.999988         8.48528e-06
           3           -0.999904            -0.99996         2.35514e-05
           4                  -1            -0.99997         1.96723e-05
           5           -0.999996           -0.999975         1.64107e-05
           6            -0.99996           -0.999973         1.38698e-05
           7            -0.99998           -0.999974         1.19279e-05
           8                  -1           -0.999977           1.088e-05
           9           -0.999976           -0.999977          9.6717e-06
          10           -0.999984           -0.999978         8.73064e-06
          11                  -1            -0.99998         8.17098e-06
          12           -0.999756           -0.999961         1.93513e-05
          13           -0.999972           -0.999962         1.78812e-05
          14                  -1           -0.999965         1.68104e-05
          15            -0.99998           -0.999966         1.57211e-05
          16           -0.999872            -0.99996         1.57895e-05
          17           -0.999972            -0.99996         1.48771e-05
          18            -0.99948           -0.999934         2.95016e-05
          19           -0.999996           -0.999937           2.813e-05
          20           -0.999552           -0.999918         3.26539e-05
