#   N_BLOCK:  ACCEPTANCE:
           1                   0
           2             1.4e-05
           3             4.2e-05
           4            3.15e-05
           5             2.6e-05
           6         2.76667e-05
           7         2.65714e-05
           8            2.35e-05
           9         2.37778e-05
          10            2.28e-05
          11         2.07273e-05
          12            3.85e-05
          13         3.75385e-05
          14         3.48571e-05
          15             3.4e-05
          16           3.875e-05
          17         3.78824e-05
          18         6.52222e-05
          19         6.18947e-05
          20            8.16e-05
