#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1            0.370882            0.370882                   0
           2            0.365385            0.368134          0.00194325
           3            0.377876            0.371381            0.002951
           4            0.373416             0.37189          0.00225669
           5            0.374659            0.372444          0.00187208
           6            0.373083             0.37255          0.00156309
           7            0.371187            0.372355          0.00135187
           8            0.369217            0.371963          0.00123848
           9            0.374819             0.37228          0.00114082
          10            0.367769            0.371829          0.00111238
          11            0.369469            0.371615          0.00103174
          12            0.373642            0.371784         0.000959495
          13            0.367103            0.371424         0.000950836
          14            0.381888            0.372171          0.00113943
          15            0.365737            0.371742          0.00114136
          16            0.373712            0.371865          0.00107665
          17            0.360294            0.371185          0.00120949
          18            0.372278            0.371245          0.00114382
          19            0.374268            0.371404          0.00109462
          20            0.365232            0.371096          0.00108253
