#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1              4.5338              4.5338                   0
           2             4.31522             4.42451           0.0772809
           3             4.36994             4.40632           0.0536182
           4             4.44038             4.41483           0.0408841
           5             4.51443             4.43475           0.0372452
           6             4.19403             4.39463           0.0480076
           7             4.48974             4.40822           0.0430291
           8             4.60452             4.43276           0.0440952
           9             4.59485             4.45077           0.0427157
          10             4.39974             4.44566           0.0387478
          11             4.50101              4.4507           0.0355504
          12             4.34084             4.44154           0.0337459
          13             4.11065             4.41609           0.0396025
          14              4.4082             4.41552           0.0367777
          15             4.15733             4.39831            0.038142
          16             4.48029             4.40344           0.0361006
          17             4.42337             4.40461           0.0339961
          18             4.27639             4.39748           0.0328452
          19              4.3884             4.39701             0.03112
          20             4.43854             4.39908           0.0296332
