#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1            -0.68092            -0.68092                   0
           2           -0.683808           -0.682364          0.00102106
           3            -0.68162           -0.682116         0.000710187
           4           -0.686028           -0.683094          0.00100053
           5           -0.684184           -0.683312         0.000823835
           6           -0.681556           -0.683019         0.000736682
           7           -0.684164           -0.683183         0.000649337
           8           -0.683172           -0.683182         0.000568171
           9           -0.685284           -0.683415         0.000550978
          10            -0.67832           -0.682906         0.000692487
          11             -0.6827           -0.682887         0.000629786
          12           -0.681976           -0.682811         0.000581861
          13           -0.682016            -0.68275         0.000540306
          14            -0.68234           -0.682721         0.000502505
          15           -0.681936           -0.682668         0.000471719
          16           -0.679216           -0.682453           0.0004891
          17            -0.68342           -0.682509         0.000463629
          18           -0.681956           -0.682479          0.00043889
          19           -0.682708           -0.682491         0.000415956
          20           -0.681512           -0.682442         0.000398027
