#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1           -0.460296           -0.460296                   0
           2             -0.4615           -0.460898         0.000425678
           3           -0.461908           -0.461235         0.000395091
           4           -0.462312           -0.461504         0.000377107
           5            -0.46262           -0.461727         0.000361758
           6           -0.464288           -0.462154         0.000492625
           7           -0.464556           -0.462497         0.000528414
           8           -0.461604           -0.462386         0.000474009
           9           -0.460764           -0.462205         0.000454293
          10           -0.462704           -0.462255         0.000411592
          11           -0.463112           -0.462333         0.000381473
          12           -0.461192           -0.462238         0.000361341
          13           -0.462496           -0.462258          0.00033409
          14             -0.4611           -0.462175           0.0003203
          15           -0.462096            -0.46217          0.00029899
          16           -0.461872           -0.462151         0.000280882
          17           -0.463916           -0.462255         0.000282893
          18           -0.461048           -0.462188          0.00027501
          19           -0.461796           -0.462167         0.000261308
          20            -0.46386           -0.462252         0.000261589
