#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             1.33502             1.33502                   0
           2             1.35324             1.34413          0.00644033
           3             1.36553             1.35126          0.00723585
           4               1.355              1.3522          0.00548673
           5             1.32118             1.34599          0.00707414
           6             1.35311             1.34718          0.00599371
           7             1.39408             1.35388          0.00805444
           8              1.3551             1.35403          0.00704908
           9             1.33084             1.35146          0.00672026
          10             1.38523             1.35483          0.00684449
          11              1.3856             1.35763          0.00676979
          12             1.35591             1.35749          0.00620716
          13              1.3757             1.35889          0.00588562
          14             1.35657             1.35872          0.00546754
          15             1.36586              1.3592          0.00512368
          16             1.36829             1.35977          0.00483484
          17             1.37437             1.36063          0.00462614
          18             1.33463             1.35918          0.00458903
          19             1.38403             1.36049          0.00453002
          20             1.33118             1.35902          0.00453437
