#   N_BLOCK:  ACCEPTANCE:
           1            0.538731
           2            0.538577
           3             0.53837
           4            0.538257
           5            0.538225
           6             0.53797
           7            0.537719
           8            0.537754
           9            0.537836
          10            0.537735
          11            0.537622
          12            0.537652
          13            0.537678
          14            0.537726
          15            0.537748
          16             0.53777
          17            0.537666
          18            0.537663
          19            0.537651
          20             0.53763
