#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1            0.197483            0.197483                   0
           2            0.198666            0.198074         0.000418243
           3            0.195756            0.197302         0.000689724
           4            0.196521            0.197107         0.000544199
           5            0.193592            0.196404         0.000764705
           6             0.19461            0.196105         0.000693223
           7            0.198787            0.196488         0.000692001
           8            0.196154            0.196446         0.000606759
           9            0.196039            0.196401         0.000541028
          10            0.197565            0.196517         0.000499284
          11            0.196931            0.196555         0.000455309
          12            0.195098            0.196433         0.000433245
          13            0.200338            0.196734         0.000493163
          14            0.200031            0.196969         0.000511084
          15            0.197969            0.197036         0.000481338
          16             0.19654            0.197005         0.000452251
          17             0.19491            0.196882         0.000442114
          18            0.195126            0.196784         0.000428175
          19            0.197474            0.196821         0.000407174
          20             0.19604            0.196781         0.000388682
