# CITY INDEX:                  X:                  Y:
            1             13.5747             37.3123
           20             14.0632             37.4899
           32             14.2807             37.5668
           78             14.7213              36.922
           91             15.2907             37.0646
           24             15.0874             37.5024
           80             15.6398             38.1035
           56             15.5542             38.1938
          108             16.0987             38.6267
           25             16.4316               38.83
           30             16.8783             39.1874
           28             16.3331             39.5967
           55             16.4736             40.4476
           93             17.0806             40.5488
           47             18.2261             40.1522
           18             17.6884             40.6359
            9              16.862             41.1258
           10             16.1466             41.1802
           76             15.8216             40.5173
           86             15.3106             40.4194
            8             15.1406             40.9965
           36             15.4529             41.5028
           21             14.8262             41.7173
           12             14.7057             41.2476
           60             14.2488             40.8359
           23             14.1169             41.2035
           43             14.2081             41.6495
           26             14.4159             42.1027
           71             13.9576             42.3103
           45             13.6103             42.1369
           38             13.5758             41.6285
           46             13.0126             41.4595
           84             12.4829             41.8933
           82             12.8859             42.4147
           94             13.6979             42.6581
            6             13.5396             42.8834
           33             13.6388             43.0922
           52             13.1509              43.153
            3             13.2188             43.4801
           83              12.631             43.9465
           70             12.7014             43.6941
           69              12.403              43.107
           95             12.4397             42.6539
          110             11.9488              42.493
           41             11.2878             42.7751
           90             11.4676             43.1672
            5             11.7639             43.5171
           37             12.0141             44.0227
           79              12.059             44.3641
           34             11.8279             44.7668
           85             12.2742             44.9772
          104             12.3346             45.4372
           65             11.8734             45.4077
          100             12.2063             45.8067
          102             13.2358             46.0635
          101             13.7773             45.6496
           40             13.6252             45.9441
           75             12.6597             45.9563
           11             12.0789             46.2805
           16             11.2302             46.6559
           99             11.1258             46.0664
          109             11.4064             45.6349
          107             10.9924             45.4385
           53             10.6708             45.1693
           17             10.4259             45.7796
           92             10.2584             46.3234
           13             9.75422             45.7567
           48             9.41202             45.9005
           59             9.27883             45.6395
           57             9.18963             45.4642
           27             9.14941             45.9395
          103             8.75413             45.8397
          105              8.3836             46.1156
           61               8.546             45.5843
          106             8.34628             45.5554
           14             8.08691              45.567
            4             7.31966             45.7371
           96             7.68249             45.0678
           31             7.55814             44.4581
           42             7.86674             43.9584
           89             8.25257             44.2334
            7             8.20269              44.826
            2             8.74503              44.835
           39             8.93386             44.4073
           68             9.13783             45.0369
           50             9.49168             45.2613
           29              10.037             45.2209
           72             9.66653             44.8476
           44             9.69123             44.2384
           54             10.0526             44.2131
           67             10.3281             44.8014
           81             10.5941             44.6087
           58              10.936             44.5385
           15             11.3426             44.4938
           77             11.0941             43.9357
           35             11.2556             43.7698
           74             10.8687             43.9741
           51             10.4544             44.0178
           73             10.4019             43.7159
           49             10.3403             42.7902
           63             9.50674             40.9253
           88             8.92197             40.7778
           64             8.67964             40.0266
           87             8.76505             39.4937
           22             8.54034             39.3075
           19             9.11331             39.2172
           62             9.34238             40.1277
           97             9.66781             39.9705
           98              12.516             38.0174
           66             13.3524             38.1112
            1             13.5747             37.3123
