#       TEMPERATURE:                 MU:              SIGMA:             AVE_LE:              ERROR:         ACCEPTANCE:      LAST_X_WALKER:
                 1.5            -1.36616            0.575197             1.05483           0.0211353                   1            -1.16727
               1.425            -1.26764            0.621748            0.611575            0.012468                0.96             1.43327
             1.35375            -1.11787            0.644391           0.0486282          0.00243417            0.866667             1.84038
             1.28606           -0.812724            0.650288           -0.445292          0.00882826            0.986667            0.793447
             1.22176            -1.07396            0.612804           -0.124451          0.00279954                0.92           -0.863533
             1.16067            -1.01615            0.645113           -0.229222          0.00477952            0.933333            0.921002
             1.10264            -1.47901            0.627308           -0.237928          0.00495917            0.293333            -1.40785
             1.04751           -0.989808            0.576926           -0.286473          0.00571843                0.92              1.3386
            0.995131            -0.92588             0.55593           -0.344266           0.0068493                0.92            -0.64176
            0.945374           -0.803388            0.505586           -0.324765          0.00657487            0.826667            -1.09953
            0.898105           -0.721393            0.551944           -0.393108          0.00781195            0.986667           -0.742301
              0.8532            -1.08543            0.537876          -0.0732183          0.00165919            0.853333              1.2735
             0.81054           -0.769467            0.496657           -0.286387            0.005862            0.933333           -0.845889
            0.770013           -0.579126            0.436777          -0.0224038          0.00183454            0.533333            0.149313
            0.731512           -0.911358            0.452188          -0.0396528          0.00220617                0.92           -0.644856
            0.694937           -0.464321             0.43351            0.108063          0.00279943                0.96            0.486316
             0.66019           -0.521253            0.395881            0.145736          0.00393529                0.84             0.32463
            0.627181          -0.0575255            0.343341            0.179235          0.00425433            0.506667           -0.145758
            0.595821           -0.417627            0.362911            0.416908          0.00868269            0.986667           -0.387064
             0.56603            -0.54692            0.357584            0.514211           0.0111145            0.533333            0.491263
            0.537729           -0.808978            0.381027            0.479045          0.00985926                0.88           -0.570623
            0.510842            -1.09425            0.421091            0.280503          0.00593341            0.906667            -1.08404
              0.4853           -0.475716            0.503215          -0.0471685          0.00163669            0.906667            0.190441
            0.461035           -0.870262            0.520401           -0.322027          0.00645424            0.986667            0.900951
            0.437984            -1.08685            0.499833          -0.0165214          0.00118046            0.733333            0.646151
            0.416084           -0.881808            0.445934          -0.0333787          0.00194554                0.56            0.960362
             0.39528           -0.092208            0.440495          -0.0200654          0.00216275            0.573333           -0.363635
            0.375516             0.17186            0.457193            0.825737           0.0167224            0.866667            -0.08225
             0.35674            0.480404            0.426625            0.114542          0.00286536            0.906667            -0.32677
            0.338903            0.255706            0.427801           0.0952302           0.0027788                0.88             0.76897
            0.321958            0.226996            0.415455            0.829083           0.0166454            0.626667            0.744264
             0.30586             1.02481            0.398164            0.330561          0.00697553            0.933333             1.02811
            0.290567            0.890409            0.439766           0.0195744           0.0023406            0.986667            -0.71235
            0.276039            0.684783            0.524251           -0.327405          0.00653751            0.853333           -0.575206
            0.262237            0.747798            0.586723           -0.425003          0.00843218            0.866667           -0.661113
            0.249125            0.906698            0.638469           -0.385058          0.00768538            0.706667           -0.389456
            0.236669            0.971365            0.663441           -0.280173          0.00572731                0.68          -0.0484263
            0.224835            0.525109            0.695723           -0.267472          0.00540286            0.933333           0.0564218
            0.213594           -0.141549             0.75797          -0.0490684          0.00181045            0.693333            -0.42393
            0.202914            0.415262            0.754553           -0.208637          0.00425185            0.973333           -0.425409
            0.192768            0.238079            0.710393           -0.212223          0.00438148            0.906667           -0.251039
             0.18313            0.482191            0.725562           -0.231104           0.0047106            0.973333           0.0858212
            0.173973            0.801566            0.795307           -0.294921          0.00607202            0.893333            0.667697
            0.165275            0.508338            0.769002           -0.259746          0.00528705            0.826667            0.819021
            0.157011            0.860063            0.674651           -0.409635          0.00817441                0.84            -0.36013
             0.14916            0.564098            0.627933           -0.286551          0.00575431                0.84            0.575315
            0.141702            0.655284            0.694263           -0.373422          0.00743506            0.813333            0.943514
            0.134617            0.844036             0.67976           -0.414028          0.00825194            0.813333             1.31648
            0.127886            0.971245             0.62165           -0.328776          0.00662956                0.88            -1.45419
            0.121492            0.914038            0.633705            -0.39119          0.00784014            0.906667            0.405496
            0.115417            0.812651            0.607841           -0.438167          0.00869746            0.853333            -1.32825
            0.109647            0.620517            0.645002           -0.342938          0.00681824            0.693333           -0.703837
            0.104164             0.63241            0.594399           -0.344154          0.00685015            0.733333            0.548998
            0.098956             0.53512             0.63314           -0.348825          0.00692893            0.773333            0.409337
           0.0940082            0.603437            0.567938           -0.302003           0.0060477            0.866667          0.00119698
           0.0893078            0.633735            0.600347           -0.351882          0.00699748            0.933333          -0.0659452
           0.0848424            0.549907            0.655136           -0.343917          0.00684744            0.813333            0.576512
           0.0806003            0.932688            0.630856            -0.36938          0.00739669                0.92             1.06022
           0.0765703            0.921447            0.726146           -0.279588          0.00592899            0.933333           -0.620088
           0.0727418            0.921317            0.658785           -0.361346          0.00723733            0.786667           -0.763748
           0.0691047            0.881983            0.552187           -0.382109          0.00761334                0.88            -1.04972
           0.0656495            0.847278            0.599705           -0.440087          0.00873866            0.866667            0.807551
            0.062367             1.00444            0.604209           -0.425018          0.00843855            0.826667             1.08988
