#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1            0.409932            0.409932                   0
           2            0.433622            0.421777          0.00837586
           3            0.430221            0.424592          0.00603829
           4            0.440834            0.428652           0.0057338
           5            0.429739             0.42887          0.00459115
           6            0.455913            0.433377          0.00561846
           7            0.427416            0.432525          0.00487993
           8            0.399593            0.428409          0.00574979
           9            0.417297            0.427174           0.0052418
          10            0.422946            0.426751          0.00473464
          11            0.425749             0.42666           0.0043051
          12            0.434765            0.427336          0.00399897
          13            0.401422            0.425342          0.00415859
          14            0.423611            0.425219          0.00386339
          15            0.397808            0.423391           0.0040148
          16            0.419025            0.423118          0.00377313
          17            0.485741            0.426802           0.0050381
          18            0.375671            0.423961          0.00550101
          19            0.422133            0.423865          0.00521233
          20            0.388816            0.422113          0.00523804
