#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1           -0.942468           -0.942468                   0
           2           -0.938124           -0.940296          0.00153584
           3           -0.943276           -0.941289           0.0013062
           4           -0.941764           -0.941408         0.000985026
           5            -0.93696           -0.940518          0.00111986
           6            -0.93474           -0.939555          0.00128211
           7           -0.937308           -0.939234          0.00113844
           8           -0.925576           -0.937527          0.00188222
           9           -0.938056           -0.937586            0.001674
          10           -0.925268           -0.936354          0.00190667
          11            -0.93508           -0.936238          0.00173685
          12             -0.9323            -0.93591          0.00162282
          13           -0.940016           -0.936226          0.00152842
          14           -0.931576           -0.935894          0.00145489
          15           -0.936192           -0.935914          0.00135803
          16           -0.942936           -0.936352           0.0013422
          17           -0.940512           -0.936597          0.00128536
          18           -0.942736           -0.936938          0.00125838
          19           -0.936444           -0.936912          0.00119242
          20           -0.938656           -0.936999          0.00113598
