#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1              50.392              50.392                   0
           2              48.368               49.38            0.715597
           3             51.2704             50.0101            0.701639
           4             49.7065             49.9342            0.530318
           5             46.3567             49.2187            0.767814
           6             46.7714             48.8108            0.740297
           7             45.1982             48.2947            0.794314
           8             34.5779             46.5801             1.74799
           9             46.6212             46.5847             1.55377
          10             36.3647             45.5627             1.70163
          11              44.294             45.4474             1.55084
          12             42.3802             45.1918             1.44251
          13             45.6902             45.2301             1.33206
          14             42.7143             45.0504             1.24897
          15             45.3733             45.0719             1.16589
          16             50.3876             45.4042             1.13938
          17             49.2034             45.6277             1.09406
          18             48.6211              45.794             1.04584
          19             44.4143             45.7213            0.993312
          20             45.8968             45.7301            0.943685
