#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1            0.314024            0.314024                   0
           2            0.319855             0.31694          0.00206151
           3            0.315772            0.316551           0.0014106
           4            0.316213            0.316466          0.00106047
           5            0.325817            0.318336          0.00187554
           6            0.319451            0.318522          0.00157212
           7            0.316075            0.318173          0.00138586
           8            0.318004            0.318151          0.00121279
           9            0.319304             0.31828          0.00108477
          10            0.317208            0.318172         0.000981571
          11            0.321715            0.318494         0.000943683
          12            0.319543            0.318582         0.000869077
          13            0.317562            0.318503          0.00080576
          14            0.313393            0.318138         0.000826767
          15            0.319097            0.318202         0.000774118
          16            0.321687             0.31842         0.000755749
          17            0.309273            0.317882         0.000882262
          18            0.316435            0.317802         0.000836899
          19            0.326336            0.318251          0.00090541
          20            0.319635             0.31832          0.00086278
