#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             3.06699             3.06699                   0
           2             3.04033             3.05366          0.00942573
           3             2.93827              3.0152           0.0320269
           4             3.08901             3.03365           0.0288502
           5             2.85628             2.99817           0.0392356
           6             3.02879             3.00328           0.0330265
           7              3.0143             3.00485            0.028346
           8             2.90514             2.99239           0.0274064
           9             2.98163             2.99119           0.0243873
          10             3.02165             2.99424           0.0221379
          11             2.98771             2.99364           0.0201333
          12             2.93912              2.9891           0.0189613
          13             2.83682             2.97739           0.0208089
          14             2.99961             2.97897            0.019383
          15             2.94907             2.97698            0.018193
          16             3.16814             2.98893           0.0206089
          17             3.05631             2.99289           0.0197742
          18             2.95733             2.99092            0.018774
          19             2.99339             2.99105           0.0177863
          20             2.95101             2.98904           0.0170093
