#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1             -0.6144             -0.6144                   0
           2           -0.612544           -0.613472         0.000656195
           3           -0.613528           -0.613491         0.000437729
           4           -0.614652           -0.613781          0.00041352
           5           -0.610784           -0.613182         0.000629971
           6           -0.613848           -0.613293         0.000534677
           7           -0.611632           -0.613055         0.000508208
           8           -0.614384           -0.613222         0.000471036
           9           -0.613544           -0.613257         0.000420059
          10           -0.613084            -0.61324         0.000378411
          11           -0.614028           -0.613312         0.000350725
          12           -0.612624           -0.613254         0.000326145
          13           -0.611052           -0.613085         0.000342239
          14           -0.611844           -0.612996         0.000329072
          15           -0.614384           -0.613089         0.000319874
          16            -0.61496           -0.613206         0.000320549
          17           -0.614176           -0.613263         0.000306732
          18            -0.61178            -0.61318          0.00030055
          19           -0.613432           -0.613194         0.000285023
          20           -0.616412           -0.613355         0.000312916
