#       TEMPERATURE:                 MU:              SIGMA:             AVE_LE:              ERROR:         ACCEPTANCE:      LAST_X_WALKER:
                 1.5            -1.51633            0.619854             2.43773           0.0487471            0.853333            -1.52399
               1.425            -1.47743            0.564222             1.82222           0.0366484                0.96            -1.33828
             1.35375            -1.41451            0.501622             1.24089           0.0248553                   1             1.72114
             1.28606            -1.40486            0.432398             1.17812           0.0234987                0.96             1.54164
             1.22176            -1.43865            0.488805             1.39964           0.0279425            0.906667            -1.31084
             1.16067            -1.41109            0.553821             1.33006           0.0267314            0.786667            -1.71358
             1.10264            -1.35933            0.554069            0.954086           0.0191424                   1            -1.76392
             1.04751            -1.33765            0.509499            0.798725           0.0159796                   1            -1.25323
            0.995131            -1.36437            0.523884            0.951706           0.0189992            0.933333            -1.44559
            0.945374            -1.31774            0.521206            0.690609             0.01388                   1            -1.05627
            0.898105            -1.28701            0.524086            0.553348           0.0110783                   1             1.36138
              0.8532            -1.30896            0.542084            0.689651           0.0138915            0.973333            0.640493
             0.81054            -1.30109            0.608947            0.784563           0.0159528                   1            -0.72604
            0.770013            -1.24871            0.630273            0.523459           0.0107258                   1            0.253195
            0.731512             -1.1962            0.618531            0.286351          0.00626517                   1              1.2847
            0.694937            -1.20023            0.636952            0.318788          0.00674852            0.973333           -0.993263
             0.66019            -1.22631            0.514049            0.341831          0.00694289                   1            -1.04301
            0.627181            -1.22298            0.539949               0.306          0.00629539                   1             1.53967
            0.595821            -1.26472            0.500915             0.49645          0.00994433            0.906667            -1.19877
             0.56603            -1.27142            0.545629            0.470856          0.00945015            0.866667             1.56699
            0.537729            -1.29961            0.470676            0.617526           0.0123289            0.853333             1.17872
            0.510842            -1.26898            0.432513            0.589131           0.0117359            0.946667             1.66163
              0.4853            -1.26934            0.468476            0.524378           0.0104508            0.933333            -1.18946
            0.461035            -1.27195            0.519988             0.51599           0.0103833            0.813333            0.813523
            0.437984            -1.22995            0.567109            0.380363          0.00777982            0.986667           -0.725731
            0.416084             -1.2193             0.61985            0.399441          0.00825899            0.893333            -1.00643
             0.39528            -1.16968            0.690842             0.32391          0.00708244            0.986667           -0.619768
            0.375516            -1.20627            0.708398            0.301077          0.00655056                0.68             2.17348
             0.35674            -1.28967            0.679537            0.901905           0.0183847            0.813333             1.40592
            0.338903            -1.28536            0.727187             1.01308           0.0207408            0.733333           -0.873853
            0.321958            -1.33128            0.743388              1.0632           0.0215233            0.573333           -0.596926
             0.30586            -1.34416            0.759924             1.46907           0.0299657            0.853333            -1.04641
            0.290567            -1.35051            0.701872             1.41341           0.0284644                   1            -2.10307
            0.276039            -1.30543             0.65106            0.895786           0.0182991            0.866667            0.951522
            0.262237            -1.34307            0.661772              1.1976           0.0241219            0.666667            0.114221
            0.249125            -1.29876             0.65706            0.881336           0.0178725            0.986667            0.659662
            0.236669            -1.22338            0.629361            0.442141          0.00947699            0.893333            -1.05174
            0.224835            -1.26622            0.645609            0.661354           0.0135114                0.64            0.921408
            0.213594            -1.22017             0.59162            0.358624          0.00740795            0.853333            -1.39866
            0.202914            -1.17586            0.511855            0.175477          0.00367767            0.973333            0.790682
            0.192768            -1.13123            0.597289           0.0143406          0.00144363                   1             1.69579
             0.18313            -1.09383            0.549337          -0.0699407          0.00168941                0.96             1.09345
            0.173973            -1.11461            0.623749           0.0146028          0.00228177                0.92            0.884045
            0.165275            -1.04492            0.520167           -0.131681          0.00275806            0.986667            -1.28112
            0.157011            -1.01785            0.525758           -0.161337          0.00335454            0.893333            0.634288
             0.14916           -0.988029            0.573651           -0.289187          0.00576793                0.88             1.42424
            0.141702            -1.00487            0.608337            -0.27583          0.00556392            0.933333           -0.536979
            0.134617            -1.06083            0.607652           -0.152272          0.00328752            0.786667            0.548403
            0.127886            -1.08395            0.636794           -0.149025          0.00326736            0.613333            0.389963
            0.121492             -1.0803             0.65698          -0.0694754          0.00237719            0.933333              1.6255
            0.115417            -1.07207            0.647909          -0.0873004          0.00259068            0.813333            -1.57596
            0.109647            -1.04556            0.630675           -0.177437          0.00382285                0.88            0.615861
            0.104164            -1.08552            0.620297           -0.210641          0.00435445                0.28             1.38454
            0.098956            -1.04509            0.640112           -0.154472          0.00342792            0.986667            -1.61569
           0.0940082            -1.09634            0.667804           -0.176251          0.00385382            0.533333            -1.17924
           0.0893078               -1.14            0.635724           0.0918318          0.00306138            0.746667            -0.86028
           0.0848424            -1.14074            0.691739            0.193125           0.0044365            0.893333            -1.15605
           0.0806003            -1.17742            0.705845             0.24617          0.00548922                0.52            0.139315
           0.0765703            -1.16205            0.732455            0.389346          0.00843373                0.96            0.582745
           0.0727418             -1.1008            0.783823            0.314715          0.00758124            0.813333            0.669944
           0.0691047            -1.07408            0.841901            0.316054          0.00759163                0.76            0.354106
           0.0656495             -1.0538            0.872157            0.364013          0.00913104            0.746667           -0.808111
            0.062367            -1.07531            0.873441            0.447255           0.0106928                 0.6           -0.169351
           0.0592486            -1.06505            0.876237            0.480251            0.010681            0.906667            0.485665
           0.0562862             -1.0774            0.852479            0.467829           0.0108032            0.506667            -1.79244
           0.0534719            -1.06553            0.825225            0.311462          0.00722313            0.986667            -1.02749
           0.0507983            -1.02892            0.800679            0.108469          0.00454031                   1            0.159807
           0.0482584           -0.987812            0.814011           0.0648823          0.00386879            0.786667           -0.999348
           0.0458455           -0.937524            0.750005           -0.213976          0.00479049            0.986667           -0.503297
           0.0435532           -0.928649            0.721828            -0.25694          0.00541607            0.653333           -0.493606
           0.0413755           -0.887897            0.648386           -0.403497           0.0080356                0.96            0.209038
           0.0393068           -0.829418            0.618613           -0.441659          0.00876876            0.853333            0.641875
           0.0373414           -0.855987            0.640459           -0.424446          0.00844818                0.68              1.0229
           0.0354743           -0.915334            0.586186           -0.424058          0.00844684            0.746667           -0.697044
           0.0337006           -0.900016            0.655328           -0.387809          0.00774565            0.706667            -1.10588
           0.0320156           -0.888923            0.648288           -0.393391          0.00784241            0.893333            0.661885
           0.0304148           -0.861907            0.634518           -0.422573          0.00839647            0.693333            -0.78646
           0.0288941           -0.889836            0.625234           -0.409695          0.00815268                 0.8            0.457921
           0.0274494           -0.904923            0.645714           -0.386435          0.00774078            0.426667             -1.7521
           0.0260769           -0.872308            0.634304           -0.422327          0.00839367                   1           -0.648933
           0.0247731           -0.888207            0.613398           -0.416775          0.00827154            0.773333           -0.605992
           0.0235344           -0.781492            0.587206            -0.43006          0.00852757                0.96           -0.686371
           0.0223577           -0.786072            0.558579           -0.434432          0.00862294            0.626667           -0.176177
           0.0212398           -0.755642            0.574556           -0.424608          0.00842494                0.96            0.443676
           0.0201778           -0.779919            0.659644           -0.429643           0.0085318                   1           -0.874907
           0.0191689           -0.819118            0.609889           -0.443286           0.0088009                0.96            -1.71705
           0.0182105           -0.801245            0.603685           -0.436711          0.00866675                 0.8            -0.86213
              0.0173           -0.854164            0.589858           -0.439415           0.0087177            0.786667            0.894236
            0.016435           -0.835391            0.590457           -0.432888          0.00858653            0.853333            -1.09922
           0.0156132           -0.832005            0.551817           -0.401006          0.00797686                 0.8             1.02497
           0.0148325           -0.773471            0.594088           -0.439882          0.00872471            0.973333           -0.503645
