#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1           -0.973192           -0.973192                   0
           2           -0.977572           -0.975382          0.00154856
           3           -0.975032           -0.975265          0.00103676
           4           -0.977232           -0.975757         0.000886521
           5           -0.977872            -0.97618         0.000803823
           6           -0.975328           -0.976038          0.00068228
           7             -0.9745           -0.975818         0.000619179
           8           -0.970276           -0.975125          0.00084468
           9            -0.97608           -0.975232         0.000757456
          10           -0.973372           -0.975046         0.000704166
          11           -0.972372           -0.974803         0.000680807
          12            -0.97574           -0.974881          0.00062854
          13           -0.961628           -0.973861          0.00113839
          14           -0.973468           -0.973833          0.00105742
          15            -0.96962           -0.973552          0.00102355
          16           -0.968692           -0.973248          0.00100364
          17           -0.979148           -0.973596          0.00100281
          18           -0.974452           -0.973643         0.000948225
          19           -0.982896            -0.97413           0.0010157
          20           -0.973672           -0.974107         0.000965178
