#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1            0.362122            0.362122                   0
           2            0.303173            0.332648           0.0208417
           3            0.310136            0.325144           0.0151854
           4            0.316804            0.323059           0.0115313
           5            0.291062            0.316659           0.0108564
           6             0.31077            0.315678          0.00909127
           7            0.319166            0.316176          0.00780616
           8            0.364289             0.32219          0.00884885
           9            0.306431            0.320439          0.00803703
          10            0.316878            0.320083          0.00724121
          11            0.317803            0.319876          0.00658589
          12            0.298226            0.318072          0.00627931
          13            0.387694            0.323427          0.00775065
          14            0.337739            0.324449          0.00726413
          15            0.363059            0.327023          0.00722151
          16            0.383482            0.330552          0.00758342
          17            0.278927            0.327515          0.00772147
          18            0.311508            0.326626          0.00734353
          19            0.238579            0.321992          0.00829124
          20            0.340343             0.32291          0.00792729
