#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             79.4725             79.4725                   0
           2             82.6872             81.0798             1.13656
           3             80.4745             80.8781             0.77541
           4             83.2743             81.4771            0.779338
           5             83.3376             81.8492            0.706742
           6             80.6907             81.6561            0.614763
           7             78.8837             81.2601            0.641967
           8             76.1764             80.6246             0.81784
           9             80.9274             80.6583            0.727661
          10             77.2252              80.315            0.731408
          11             76.7706             79.9927            0.732462
          12             81.2775             80.0998            0.679204
          13             64.9817             78.9369             1.28119
          14             77.7597             78.8528             1.19243
          15             74.6881             78.5752              1.1448
          16             74.3682             78.3122             1.10304
          17             84.4088             78.6708              1.0949
          18             79.3894             78.7108              1.0348
          19             87.5342             79.1752             1.07952
          20             79.7718              79.205             1.02596
