#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.238026            0.238026                   0
           2            0.280128            0.259077           0.0148853
           3             0.27093            0.263028           0.0104347
           4            0.279676             0.26719          0.00861619
           5            0.334122            0.280576           0.0138155
           6            0.317984            0.286811           0.0128429
           7             0.27394            0.284972            0.011139
           8            0.338176            0.291623           0.0115628
           9            0.214444            0.283047           0.0130769
          10            0.282316            0.282974           0.0117694
          11            0.242954            0.279336           0.0112477
          12             0.26757            0.278356           0.0103531
          13            0.292078            0.279411          0.00961033
          14            0.279534             0.27942          0.00892388
          15            0.261602            0.278232          0.00840764
          16            0.282184            0.278479          0.00788579
          17             0.30446            0.280007          0.00756857
          18            0.297366            0.280972          0.00720927
          19             0.29412            0.281664          0.00686297
          20            0.267418            0.280951          0.00655668
