#   N_BLOCK:  ACCEPTANCE:
           1            0.141235
           2            0.142869
           3            0.142367
           4            0.142723
           5             0.14177
           6            0.141899
           7            0.141906
           8            0.141786
           9            0.141675
          10            0.141961
          11            0.142165
          12            0.142445
          13            0.142503
          14            0.142401
          15            0.142398
          16            0.142413
          17            0.142448
          18            0.142146
          19            0.142196
          20             0.14213
