#   N_BLOCK:  ACCEPTANCE:
           1            0.048624
           2           0.0471235
           3            0.046687
           4           0.0461498
           5           0.0467964
           6           0.0457877
           7           0.0463763
           8           0.0461227
           9           0.0459214
          10           0.0457648
          11           0.0464493
          12            0.046564
          13           0.0463878
          14           0.0464471
          15           0.0465091
          16           0.0462928
          17           0.0464232
          18           0.0463754
          19           0.0464714
          20           0.0464529
