#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.028936            0.028936                   0
           2            0.028592            0.028764         0.000121622
           3            0.026542           0.0280233         0.000610163
           4            0.022302            0.026593          0.00132053
           5            0.019384           0.0251512          0.00166705
           6            0.025312            0.025178          0.00138943
           7            0.033582           0.0263786          0.00162905
           8             0.03432           0.0273713          0.00170119
           9             0.02993           0.0276556          0.00153574
          10            0.021594           0.0270494          0.00149702
          11            0.021878           0.0265793          0.00143285
          12            0.032546           0.0270765          0.00139706
          13            0.032908           0.0275251           0.0013597
          14            0.021212           0.0270741          0.00133526
          15            0.036002           0.0276693           0.0013725
          16            0.027228           0.0276418            0.001287
          17            0.026732           0.0275882           0.0012124
          18             0.02398           0.0273878           0.0011615
          19            0.023096           0.0271619          0.00112212
          20            0.020926           0.0268501          0.00110848
