#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.049656            0.049656                   0
           2            0.067256            0.058456          0.00622254
           3            0.052438             0.05645             0.00446
           4            0.054978            0.056082          0.00336015
           5            0.079024           0.0606704          0.00490599
           6            0.050632           0.0589973          0.00436429
           7            0.046524           0.0572154          0.00408844
           8             0.06189           0.0577998           0.0036189
           9            0.063608           0.0584451          0.00327383
          10            0.059432           0.0585438          0.00294794
          11            0.047588           0.0575478          0.00284322
          12            0.057556           0.0575485          0.00260628
          13            0.063236            0.057986          0.00244225
          14             0.05716            0.057927          0.00226851
          15            0.063356           0.0582889          0.00214596
          16             0.06501            0.058709          0.00205254
          17            0.054206           0.0584441          0.00194882
          18             0.06156           0.0586172          0.00184822
          19            0.047798           0.0580478          0.00183657
          20            0.062472            0.058269          0.00175801
