#   N_BLOCK:  ACCEPTANCE:
           1            0.381327
           2            0.381703
           3            0.382303
           4             0.38172
           5             0.38122
           6            0.381218
           7            0.381294
           8            0.381321
           9            0.381324
          10            0.381205
          11            0.381377
          12            0.381177
          13            0.381408
          14            0.381585
          15             0.38169
          16            0.381628
          17            0.381586
          18            0.381736
          19            0.381782
          20            0.381682
