#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1            0.413805            0.413805                   0
           2            0.442265            0.428035           0.0100621
           3            0.430719             0.42893          0.00674771
           4            0.418745            0.426383          0.00552034
           5            0.406942            0.422495          0.00562126
           6            0.433765            0.424373          0.00498831
           7            0.417069             0.42333          0.00438348
           8            0.448818            0.426516          0.00485732
           9            0.464128            0.430695          0.00584516
          10            0.403661            0.427992           0.0058525
          11            0.444343            0.429478          0.00550599
          12            0.418649            0.428576          0.00512057
          13            0.427737            0.428511          0.00472709
          14            0.434299            0.428925          0.00440748
          15            0.439956             0.42966          0.00417455
          16            0.428888            0.429612          0.00391392
          17            0.395934            0.427631           0.0041549
          18            0.438209            0.428218          0.00396541
          19            0.425975              0.4281          0.00375847
          20            0.398975            0.426644          0.00384232
