#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1            -0.93096            -0.93096                   0
           2             -0.9359            -0.93343          0.00174655
           3           -0.931904           -0.932921          0.00123622
           4            -0.93372           -0.933121         0.000943155
           5            -0.93524           -0.933545         0.000844388
           6           -0.934536            -0.93371         0.000719636
           7           -0.935252            -0.93393         0.000649672
           8           -0.932944           -0.933807         0.000580043
           9           -0.933412           -0.933763         0.000517251
          10            -0.93272           -0.933659         0.000475928
          11           -0.935108           -0.933791         0.000450527
          12           -0.939648           -0.934279         0.000623669
          13            -0.93312            -0.93419         0.000582028
          14           -0.934776           -0.934231          0.00054196
          15           -0.936356           -0.934373         0.000524011
          16            -0.93306           -0.934291         0.000497645
          17           -0.936776           -0.934437          0.00048937
          18           -0.932044           -0.934304         0.000479903
          19           -0.931504           -0.934157         0.000476739
          20           -0.937664           -0.934332          0.00048408
