#   N_BLOCK:  ACCEPTANCE:
           1            0.068519
           2           0.0664275
           3            0.066841
           4           0.0665802
           5           0.0661078
           6           0.0660093
           7           0.0659196
           8           0.0660701
           9           0.0661422
          10           0.0662329
          11           0.0661105
          12            0.065639
          13           0.0657285
          14           0.0656677
          15            0.065539
          16           0.0655991
          17           0.0654663
          18           0.0655766
          19           0.0657073
          20           0.0655394
