#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1              40.906              40.906                   0
           2             45.8428             43.3744             1.74543
           3             41.2209             42.6566             1.30289
           4             42.4002             42.5925            0.978745
           5             43.4994             42.7739            0.799627
           6             44.8725             43.1237            0.738904
           7             44.5361             43.3254            0.660324
           8             42.6893             43.2459            0.582551
           9             44.4513             43.3799            0.532996
          10             41.8918             43.2311            0.500037
          11             44.8731             43.3803             0.47634
          12             47.0028             43.6822            0.523634
          13             43.6426             43.6792            0.483364
          14             44.1016             43.7093            0.449779
          15             45.9922             43.8615            0.444797
          16             43.0902             43.8133            0.419602
          17             45.7466              43.927             0.41004
          18               41.68             43.8022            0.405818
          19             42.8164             43.7503            0.387762
          20             44.7807             43.8018             0.37178
