#   N_BLOCK:  ACCEPTANCE:
           1            0.489886
           2            0.490275
           3             0.49059
           4            0.490515
           5             0.49079
           6            0.490744
           7            0.490715
           8            0.490518
           9            0.490664
          10            0.490496
          11            0.490596
          12            0.490591
          13            0.490668
          14            0.490692
          15            0.490549
          16            0.490563
          17            0.490556
          18            0.490569
          19            0.490553
          20            0.490479
