#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1             0.03057             0.03057                   0
           2            0.039402            0.034986          0.00312258
           3            0.031326            0.033766          0.00230778
           4            0.034134            0.033858          0.00173267
           5            0.030352           0.0331568          0.00152142
           6            0.037492           0.0338793          0.00142915
           7            0.038324           0.0345143          0.00135874
           8            0.036654           0.0347818          0.00121494
           9            0.035222           0.0348307          0.00108093
          10            0.036308           0.0349784         0.000982878
          11            0.030956           0.0346127         0.000959139
          12            0.033244           0.0344987         0.000885967
          13            0.035274           0.0345583         0.000819821
          14            0.028474           0.0341237          0.00086885
          15            0.040172           0.0345269         0.000899638
          16            0.032786           0.0344181         0.000849965
          17            0.039168           0.0346975         0.000844643
          18            0.035204           0.0347257         0.000798187
          19             0.02942           0.0344464         0.000803541
          20            0.035708           0.0345095         0.000765836
