#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.086416            0.086416                   0
           2            0.079626            0.083021          0.00240063
           3            0.073518           0.0798533           0.0030415
           4              0.0742             0.07844          0.00258876
           5             0.08994             0.08074          0.00291909
           6             0.07185           0.0792583          0.00278332
           7            0.077234           0.0789691          0.00240068
           8             0.09655           0.0811668           0.0029391
           9            0.078346           0.0808533          0.00262919
          10             0.10579            0.083347          0.00334601
          11            0.093688           0.0842871          0.00317114
          12            0.080578            0.083978           0.0029219
          13            0.100706           0.0852648          0.00296698
          14            0.083292           0.0851239           0.0027584
          15            0.090778           0.0855008          0.00260013
          16             0.10296            0.086592          0.00265675
          17             0.11469           0.0882448          0.00297043
          18            0.073286           0.0874138          0.00291935
          19            0.054584           0.0856859           0.0032369
          20               0.084           0.0856016          0.00307615
