#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             2.07832             2.07832                   0
           2             2.17001             2.12417           0.0324182
           3              2.1927             2.14701           0.0285473
           4              2.2156             2.16416           0.0260565
           5             2.23872             2.17907           0.0247478
           6              2.2043             2.18328           0.0209774
           7             2.15826              2.1797           0.0182825
           8             2.16178             2.17746           0.0161339
           9             2.16078             2.17561           0.0144473
          10             2.06697             2.16474           0.0165916
          11             2.20492              2.1684             0.01548
          12             2.21708             2.17245            0.014712
          13             2.21351             2.17561           0.0139152
          14              2.1109             2.17099           0.0136673
          15             2.14284             2.16911           0.0128844
          16             2.13854              2.1672             0.01222
          17             2.18472             2.16823           0.0115445
          18             2.18578             2.16921           0.0109442
          19             2.23289             2.17256           0.0108693
          20             2.11604             2.16973           0.0106869
