#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1           -0.553836           -0.553836                   0
           2            -0.55616           -0.554998         0.000821658
           3           -0.554612           -0.554869         0.000557755
           4           -0.553968           -0.554644         0.000461595
           5           -0.554224            -0.55456         0.000376842
           6           -0.555452           -0.554709         0.000342105
           7           -0.552276           -0.554361         0.000435322
           8           -0.556468           -0.554625         0.000453627
           9           -0.557612           -0.554956         0.000510425
          10           -0.555452           -0.555006         0.000461782
          11           -0.557532           -0.555236         0.000473468
          12            -0.55578           -0.555281          0.00043618
          13            -0.55482           -0.555246         0.000404067
          14           -0.555172            -0.55524         0.000375239
          15           -0.553768           -0.555142         0.000362833
          16           -0.555704           -0.555177         0.000341851
          17           -0.553328           -0.555068         0.000338608
          18            -0.55406           -0.555012         0.000324398
          19           -0.554812           -0.555002         0.000307496
          20           -0.554924           -0.554998         0.000292146
