#   N_BLOCK:  ACCEPTANCE:
           1            0.445491
           2            0.445314
           3              0.4455
           4            0.445323
           5            0.445405
           6            0.445259
           7            0.445728
           8            0.445424
           9            0.445202
          10            0.445201
          11            0.445029
          12            0.444927
          13            0.444961
          14            0.444947
          15            0.445048
          16            0.445019
          17            0.445103
          18            0.445164
          19            0.445177
          20            0.445141
