#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1           -0.612996           -0.612996                   0
           2           -0.614376           -0.613686         0.000487904
           3            -0.61198           -0.613117         0.000566911
           4           -0.613508           -0.613215         0.000433514
           5           -0.613352           -0.613242         0.000347676
           6           -0.614512           -0.613454         0.000348218
           7            -0.61414           -0.613552         0.000311958
           8           -0.613572           -0.613555         0.000272973
           9           -0.613936           -0.613597         0.000245912
          10           -0.612812           -0.613518         0.000233511
          11           -0.614136           -0.613575         0.000218929
          12           -0.615992           -0.613776         0.000278346
          13            -0.61258           -0.613684         0.000271713
          14           -0.611504           -0.613528         0.000293552
          15           -0.610672           -0.613338         0.000330013
          16           -0.611912           -0.613249         0.000321194
          17            -0.61176           -0.613161         0.000314012
          18            -0.61094           -0.613038         0.000319896
          19           -0.610844           -0.612922         0.000323225
          20           -0.612964           -0.612924         0.000307071
