#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1            0.316973            0.316973                   0
           2            0.316393            0.316683         0.000205037
           3            0.326192            0.319853          0.00259156
           4            0.318717            0.319569          0.00195917
           5            0.321085            0.319872          0.00159063
           6            0.323085            0.320407          0.00141278
           7            0.309699            0.318878          0.00186336
           8            0.318689            0.318854          0.00163059
           9            0.309919            0.317861          0.00172537
          10             0.32036            0.318111          0.00157081
          11            0.319523            0.318239          0.00143324
          12            0.319174            0.318317          0.00131592
          13            0.317963             0.31829          0.00121498
          14            0.305816            0.317399          0.00141775
          15            0.315005            0.317239          0.00133219
          16            0.317294            0.317243          0.00124893
          17            0.315917            0.317165           0.0011779
          18            0.315747            0.317086          0.00111509
          19            0.323735            0.317436          0.00110996
          20            0.314986            0.317314           0.0010612
