#   N_BLOCK:  ACCEPTANCE:
           1            0.387119
           2            0.386831
           3            0.387152
           4             0.38685
           5            0.386915
           6            0.386833
           7            0.386823
           8            0.386748
           9             0.38671
          10            0.386746
          11            0.386717
          12            0.386418
          13            0.386533
          14            0.386655
          15            0.386805
          16            0.386827
          17            0.386896
          18            0.387031
          19            0.387086
          20            0.387029
