#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.923992            0.923992                   0
           2            0.881494            0.902743           0.0150253
           3             0.93568            0.913722           0.0134423
           4             0.90831            0.912369           0.0101496
           5            0.688788            0.867653           0.0408113
           6             0.92487            0.877189           0.0351059
           7            0.885168            0.878329           0.0301092
           8            0.956428            0.888091           0.0278833
           9            0.921332            0.891785           0.0250286
          10            0.903686            0.892975            0.022554
          11            0.952116            0.898351           0.0211348
          12             0.84382            0.893807           0.0198561
          13            0.924396             0.89616           0.0184676
          14            0.883622            0.895264           0.0171702
          15            0.876526            0.894015           0.0160709
          16            0.865814            0.892253           0.0151628
          17            0.938224            0.894957             0.01451
          18            0.871264            0.893641           0.0137635
          19             0.90427              0.8942           0.0130504
          20            0.837666            0.891373           0.0127004
