#   N_BLOCK:  ACCEPTANCE:
           1             0.01201
           2             0.01411
           3            0.013626
           4            0.013308
           5            0.014662
           6           0.0147233
           7           0.0145921
           8           0.0141375
           9           0.0141116
          10           0.0138562
          11           0.0135324
          12           0.0138218
          13            0.013828
          14           0.0136522
          15           0.0137687
          16           0.0141028
          17           0.0139659
          18           0.0138383
          19           0.0138022
          20           0.0140465
