#   N_BLOCK:  ACCEPTANCE:
           1            0.229816
           2            0.231482
           3            0.231664
           4            0.231733
           5            0.231963
           6            0.231767
           7            0.231381
           8            0.231206
           9            0.231068
          10            0.231014
          11            0.230986
          12            0.230981
          13            0.230783
          14            0.230839
          15            0.230819
          16            0.230788
          17            0.230845
          18            0.230901
          19            0.230886
          20            0.230807
