#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.173246            0.173246                   0
           2             0.14136            0.157303           0.0112734
           3            0.124898            0.146501           0.0115874
           4            0.128686            0.142048          0.00950807
           5            0.119346            0.137507          0.00862262
           6            0.166478            0.142336          0.00842971
           7             0.15336            0.143911          0.00737112
           8             0.14736            0.144342          0.00646233
           9            0.153934            0.145408          0.00583152
          10            0.157302            0.146597           0.0053683
          11            0.149958            0.146903          0.00488896
          12             0.13488            0.145901          0.00458305
          13            0.160608            0.147032          0.00436792
          14            0.137454            0.146348          0.00410915
          15             0.14418            0.146203          0.00383775
          16            0.156078            0.146821          0.00364718
          17            0.141656            0.146517          0.00344527
          18            0.145282            0.146448          0.00325454
          19            0.162462            0.147291          0.00319052
          20             0.15118            0.147485          0.00303692
