#     BLOCK:           ACTUAL_H:              H_AVE:              ERROR:
         152           -0.452899           -0.444048          0.00230833
         153           -0.470297            -0.44422          0.00229961
         154           -0.463996           -0.444348          0.00228826
         155           -0.402293           -0.444077          0.00228953
         156           -0.449202            -0.44411          0.00227509
         157           -0.444189            -0.44411           0.0022606
         158           -0.434656            -0.44405          0.00224708
         159           -0.401792           -0.443784          0.00224861
         160           -0.422129           -0.443649          0.00223863
         161           -0.435061           -0.443596          0.00222536
         162           -0.470722           -0.443763          0.00221791
         163            -0.45154           -0.443811          0.00220482
         164           -0.378877           -0.443415          0.00222664
         165           -0.454178            -0.44348           0.0022141
         166           -0.380864           -0.443103          0.00223266
         167           -0.445912            -0.44312          0.00221936
         168           -0.454043           -0.443185           0.0022071
         169           -0.440318           -0.443168           0.0021941
         170           -0.472622           -0.443341          0.00218803
         171           -0.473343           -0.443517          0.00218226
         172            -0.43782           -0.443484          0.00216982
         173            -0.43133           -0.443413          0.00215841
         174           -0.438913           -0.443387          0.00214616
         175             -0.4681           -0.443529          0.00213854
         176           -0.472076           -0.443691          0.00213253
         177           -0.460694           -0.443787          0.00212265
         178           -0.402462           -0.443555          0.00212338
         179           -0.404973           -0.443339          0.00212243
         180           -0.438716           -0.443313          0.00211079
         181           -0.430328           -0.443242          0.00210035
         182           -0.432811           -0.443184          0.00208959
         183           -0.445709           -0.443198          0.00207822
         184            -0.44752           -0.443222          0.00206706
         185           -0.464206           -0.443335          0.00205899
         186           -0.439242           -0.443313          0.00204804
         187           -0.461199           -0.443409          0.00203932
         188           -0.444475           -0.443414          0.00202848
         189           -0.454326           -0.443472          0.00201857
         190           -0.379397           -0.443135          0.00203592
         191           -0.382476           -0.442817          0.00204988
         192           -0.449889           -0.442854          0.00203954
         193           -0.438027           -0.442829          0.00202912
         194            -0.45831           -0.442909          0.00202023
         195           -0.419981           -0.442791          0.00201329
         196           -0.422693           -0.442689          0.00200563
         197           -0.437053            -0.44266          0.00199565
         198           -0.457376           -0.442735          0.00198696
         199           -0.446079           -0.442751          0.00197704
         200           -0.456515            -0.44282          0.00196836
         201           -0.361824           -0.442417          0.00199939
         202           -0.451384           -0.442462          0.00198998
         203           -0.430394           -0.442402          0.00198106
         204           -0.447272           -0.442426           0.0019715
         205           -0.432032           -0.442375          0.00196253
         206            -0.45127           -0.442419          0.00195348
         207           -0.415248           -0.442287          0.00194845
         208           -0.443319           -0.442292          0.00193909
         209           -0.413856           -0.442156          0.00193458
         210           -0.427468           -0.442086          0.00192663
         211           -0.470883           -0.442223          0.00192232
         212           -0.424007           -0.442137          0.00191518
         213           -0.442173           -0.442137          0.00190619
         214           -0.356656           -0.441737          0.00193868
         215           -0.439751           -0.441728          0.00192968
         216           -0.468977           -0.441854          0.00192487
         217           -0.469197            -0.44198          0.00192012
         218           -0.458067           -0.442054          0.00191273
         219           -0.438755           -0.442039          0.00190405
         220           -0.444838           -0.442052          0.00189544
         221           -0.482836           -0.442236          0.00189583
         222           -0.317572           -0.441675           0.0019687
         223           -0.440431           -0.441669          0.00195988
         224           -0.447534           -0.441695           0.0019513
         225           -0.455371           -0.441756          0.00194358
         226           -0.398095           -0.441563          0.00194456
         227           -0.292629           -0.440907          0.00204368
         228           -0.465655           -0.441016          0.00203759
         229           -0.473915           -0.441159          0.00203376
         230           -0.411037           -0.441028          0.00202913
         231           -0.472015           -0.441162          0.00202477
         232           -0.404776           -0.441006          0.00202211
         233           -0.437891           -0.440992          0.00201347
         234            -0.44037           -0.440989          0.00200487
         235           -0.446721           -0.441014          0.00199649
         236           -0.401232           -0.440845          0.00199513
         237           -0.447444           -0.440873          0.00198691
         238           -0.468523           -0.440989          0.00198195
         239           -0.412295           -0.440869          0.00197729
         240           -0.452807           -0.440919          0.00196968
         241           -0.448863           -0.440952          0.00196178
         242           -0.408341           -0.440817           0.0019583
         243           -0.473069            -0.44095          0.00195473
         244           -0.473404           -0.441083          0.00195124
         245           -0.447735            -0.44111          0.00194347
         246           -0.414151           -0.441001          0.00193865
         247           -0.472025           -0.441126          0.00193487
         248           -0.470289           -0.441244          0.00193064
         249           -0.398058            -0.44107          0.00193066
         250           -0.478287           -0.441219          0.00192867
