#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             7.66955             7.66955                   0
           2             7.03673             7.35314            0.223734
           3             7.34247             7.34958            0.149184
           4             7.84419             7.47324            0.154876
           5             7.44591             7.46777            0.123997
           6             7.38108             7.45332            0.104169
           7              6.9196             7.37708            0.113821
           8             7.61282             7.40654            0.103338
           9             6.77189             7.33603            0.113391
          10             6.89392             7.29182            0.110335
          11             7.57914             7.31794             0.10335
          12             7.93632             7.36947            0.106815
          13             6.99441             7.34062            0.102421
          14             7.51642             7.35318           0.0958715
          15             7.83239             7.38512           0.0946535
          16             6.77045             7.34671           0.0962186
          17             7.82379             7.37477           0.0945628
          18              7.8172             7.39935           0.0924485
          19             7.38333             7.39851           0.0875866
          20             7.37405             7.39728           0.0832158
