#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1            0.423762            0.423762                   0
           2            0.420304            0.422033          0.00122247
           3            0.431576            0.425214           0.0027221
           4            0.417015            0.423164          0.00270542
           5            0.416371            0.421806          0.00248214
           6            0.410856            0.419981          0.00265592
           7            0.425818            0.420815          0.00240386
           8            0.435399            0.422638          0.00270781
           9            0.418768            0.422208          0.00244085
          10            0.414567            0.421444          0.00231328
          11            0.411781            0.420565          0.00226361
          12            0.430487            0.421392          0.00222084
          13             0.40535            0.420158          0.00236814
          14            0.427823            0.420706           0.0022614
          15             0.41801            0.420526          0.00211777
          16            0.419405            0.420456          0.00198657
          17            0.425699            0.420764           0.0018935
          18            0.435085             0.42156          0.00194829
          19            0.410724            0.420989          0.00192742
          20            0.426595             0.42127          0.00185131
