#   N_BLOCK:  ACCEPTANCE:
           1            0.237303
           2            0.238807
           3            0.239158
           4            0.238787
           5            0.238708
           6            0.238647
           7            0.238645
           8            0.238462
           9            0.238663
          10            0.238631
          11            0.238631
          12            0.238476
          13            0.238514
          14            0.238511
          15            0.238328
          16            0.238396
          17            0.238442
          18            0.238454
          19            0.238514
          20            0.238413
