#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1           -0.763092           -0.763092                   0
           2           -0.759204           -0.761148          0.00137462
           3             -0.7596           -0.760632          0.00100862
           4           -0.763076           -0.761243         0.000923162
           5            -0.76158            -0.76131         0.000740986
           6           -0.761744           -0.761383         0.000621003
           7           -0.761036           -0.761333         0.000534259
           8           -0.763228            -0.76157         0.000517323
           9           -0.759948            -0.76139         0.000490231
          10           -0.761452           -0.761396         0.000441247
          11            -0.76146           -0.761402         0.000401172
          12           -0.763128           -0.761546         0.000392685
          13            -0.76156           -0.761547          0.00036248
          14           -0.761604           -0.761551         0.000336612
          15           -0.763504           -0.761681         0.000338419
          16            -0.76026           -0.761592         0.000328716
          17           -0.761244           -0.761572         0.000310018
          18           -0.760836           -0.761531         0.000295477
          19           -0.760492           -0.761476          0.00028494
          20           -0.762984           -0.761552         0.000280489
