#       TEMPERATURE:                 MU:              SIGMA:             AVE_LE:              ERROR:         ACCEPTANCE:      LAST_X_WALKER:
                 1.5             4.43063             1.99917             572.891             11.3953            0.786667            -3.83255
               1.425             4.37504             2.00502             555.435             11.0697            0.573333            -3.03648
             1.35375             4.35717             2.01733             544.488             10.8287            0.813333            -6.02722
             1.28606              4.3071             2.01669             540.973             10.7726                 0.8            -3.12882
             1.22176             4.31357             2.01026             519.041             10.3327            0.213333              4.9691
             1.16067              4.3256             2.01817             528.346             10.5228            0.453333             3.43201
             1.10264             4.34104             1.99325             527.128             10.4758            0.666667            -3.63493
             1.04751             4.33481             1.96773             533.607             10.6289                0.92             4.14021
            0.995131             4.29073             1.96102             512.313             10.2044            0.933333            -4.20935
            0.945374             4.28846             1.94377             504.159             10.0389            0.853333             1.63281
            0.898105             4.31776             1.95002             504.436             10.0327            0.453333            -5.51332
              0.8532             4.34041             1.89406             514.149             10.2318                0.64            -5.29773
             0.81054             4.29166             1.89179              500.78             9.95918            0.586667               4.007
            0.770013             4.26412             1.88126             475.746             9.46074                0.84            -3.87002
            0.731512             4.31486             1.86845             484.766             9.65223            0.253333            -3.11281
            0.694937             4.18335             1.85041             442.454             8.79428                0.76            -3.81689
             0.66019             4.17773             1.85829             432.119             8.59093           0.0133333            -3.78567
            0.627181             4.16419             1.82539             431.716             8.59833            0.973333             6.18116
            0.595821             4.13477             1.77483             407.998              8.1133            0.973333            -4.27136
             0.56603             4.00558             1.74498              357.72             7.11958            0.946667             3.75295
            0.537729             3.98746             1.72486             359.445             7.13881            0.373333            -3.16889
            0.510842             3.93802             1.72189             337.757             6.71591            0.893333            -4.34876
              0.4853             3.86926             1.72152             312.993              6.2326            0.746667             2.87174
            0.461035             3.81868             1.72468             303.215             6.03706            0.253333             3.45011
            0.437984             3.85625             1.72314              315.51             6.26636                0.96             3.99348
            0.416084             3.82922              1.7232             309.822             6.15408            0.293333             3.64132
             0.39528             3.70211             1.75746             285.751             5.68897            0.733333             -3.2266
            0.375516             3.61509             1.76894             259.603              5.1681                0.92             4.35095
             0.35674             3.56561             1.77068             248.775             4.94695                0.88            -5.12794
            0.338903             3.47621             1.76422             223.125             4.44136            0.866667            -1.88425
            0.321958              3.4931             1.74119             224.404             4.46819            0.346667            -4.35206
             0.30586             3.47279             1.74512             222.887               4.438           0.0666667            -4.71301
            0.290567              3.4572             1.73314             221.066             4.39711            0.533333            -4.20282
            0.276039             3.48337             1.69585             219.276             4.37973            0.653333             3.44211
            0.262237             3.48836             1.66484             216.796              4.3135            0.986667            -5.37036
            0.249125             3.45409             1.67945             217.747             4.32695            0.733333            -4.86196
            0.236669             3.31882             1.69905             184.062              3.6596            0.826667            -3.49777
