#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1            0.201265            0.201265                   0
           2            0.197426            0.199346          0.00135736
           3            0.197486            0.198726           0.0010368
           4            0.196716            0.198223         0.000891026
           5            0.198245            0.198228         0.000712831
           6            0.194587            0.197621         0.000812232
           7            0.197786            0.197645         0.000696541
           8            0.200417            0.197991         0.000690303
           9            0.195711            0.197738         0.000658431
          10            0.196057             0.19757         0.000613664
          11             0.19555            0.197386         0.000584705
          12            0.199088            0.197528         0.000552912
          13             0.19722            0.197504         0.000510887
          14            0.199718            0.197662         0.000498259
          15            0.198317            0.197706         0.000466947
          16            0.199119            0.197794         0.000446032
          17            0.201218            0.197996         0.000463038
          18            0.195424            0.197853         0.000458821
          19            0.193802             0.19764         0.000481654
          20            0.195972            0.197556         0.000464731
