#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             1.34156             1.34156                   0
           2             1.36255             1.35205          0.00742109
           3             1.33192             1.34534          0.00738212
           4             1.33717              1.3433          0.00581207
           5             1.34754             1.34415           0.0047112
           6             1.35079             1.34525          0.00405399
           7             1.34159             1.34473          0.00350845
           8              1.3738             1.34836          0.00457969
           9             1.34332              1.3478          0.00410499
          10             1.36252             1.34928          0.00394954
          11             1.38009             1.35208          0.00447498
          12             1.31003             1.34857          0.00529938
          13             1.35436             1.34902           0.0049104
          14             1.35457             1.34941          0.00457562
          15             1.35907             1.35006          0.00431558
          16             1.35421             1.35032          0.00405365
          17             1.39431              1.3529            0.004567
          18              1.3254             1.35138          0.00456171
          19             1.34569             1.35108          0.00433144
          20             1.33785             1.35042          0.00416505
