#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1           -0.460736           -0.460736                   0
           2           -0.462828           -0.461782         0.000739634
           3           -0.462396           -0.461987         0.000520637
           4           -0.463832           -0.462448         0.000558654
           5           -0.462872           -0.462533         0.000453313
           6           -0.462516            -0.46253          0.00037777
           7           -0.462532            -0.46253         0.000323803
           8           -0.461988           -0.462463         0.000290336
           9              -0.461             -0.4623         0.000300126
          10           -0.460488           -0.462119         0.000320174
          11           -0.465616           -0.462437         0.000420249
          12             -0.4639           -0.462559          0.00040253
          13           -0.459976            -0.46236         0.000417725
          14           -0.462304           -0.462356         0.000387907
          15            -0.46182            -0.46232         0.000363688
          16           -0.462288           -0.462318         0.000340963
          17           -0.462116           -0.462306         0.000321114
          18           -0.462112           -0.462296         0.000303456
          19           -0.460872           -0.462221          0.00029659
          20           -0.462464           -0.462233          0.00028201
